Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Parallel Params Per Kernel Setting,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
0,tsukubaSetHalfSize,FLOAT,12,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,192,144,15,0.000000,0.000008,0.000016,0.000015,0.000015,0.000016,0.000062,0.000007,0.000007,0.000279,0.000082,0.000082,0.000010,0.000000,0.000449,0.000053,0.000063,0.000055,0.000054,0.000053,0.000053,0.000000,0.000021,0.000020,0.000020,0.000021,0.000459,0.000513,0.000533,0.000533,0.009533,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.106659,1.098657,1.106659,,1.106659,,1.017795,,,,,,,,,,,,,,,,,,1.106659,1.098657,1.017795,,,,
0,tsukubaSetHalfSize,FLOAT,12,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,192,144,15,0.000000,0.000008,0.000016,0.000015,0.000015,0.000016,0.000063,0.000007,0.000007,0.000613,0.000084,0.000084,0.000011,0.000000,0.000786,0.000053,0.000127,0.000118,0.000120,0.000123,0.000125,0.000000,0.000021,0.000020,0.000021,0.000021,0.000796,0.000849,0.000869,0.000869,0.009533,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.585659,1.147353,1.585659,,,1.585659,1.066087,,,,,,,,,,,,,,,,,,1.585659,1.147353,1.066087,,,,
1,tsukubaSet,FLOAT,12,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,384,288,15,0.000000,0.000014,0.000031,0.000020,0.000017,0.000017,0.000085,0.000007,0.000007,0.000560,0.000162,0.000162,0.000048,0.000000,0.000876,0.000127,0.000291,0.000089,0.000060,0.000059,0.000058,0.000000,0.000076,0.000033,0.000025,0.000029,0.000886,0.001017,0.001077,0.001077,0.097234,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.099273,1.227336,2.099273,,2.099273,,1.005546,,,,,,,,,,,,,,,,,,2.099273,1.227336,1.005546,,,,
1,tsukubaSet,FLOAT,12,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,384,288,15,0.000000,0.000014,0.000032,0.000021,0.000017,0.000017,0.000087,0.000007,0.000007,0.001583,0.000164,0.000164,0.000049,0.000000,0.001907,0.000127,0.000852,0.000235,0.000169,0.000157,0.000169,0.000000,0.000076,0.000033,0.000026,0.000029,0.001918,0.002047,0.002107,0.002107,0.097234,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.722932,1.254487,1.722932,,,1.722932,1.047966,,,,,,,,,,,,,,,,,,1.722932,1.254487,1.047966,,,,
2,venus,FLOAT,12,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,434,383,15,0.000000,0.000025,0.000049,0.000025,0.000022,0.000022,0.000118,0.000007,0.000007,0.000907,0.000259,0.000259,0.000087,0.000000,0.001405,0.000181,0.000526,0.000178,0.000070,0.000067,0.000065,0.000000,0.000143,0.000052,0.000033,0.000030,0.001415,0.001597,0.001685,0.001685,0.399283,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.235091,1.098373,2.235091,,2.235091,,1.017948,,,,,,,,,,,,,,,,,,2.235091,1.098373,1.017948,,,,
2,venus,FLOAT,12,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,434,383,15,0.000000,0.000025,0.000049,0.000025,0.000022,0.000022,0.000118,0.000007,0.000007,0.003288,0.000270,0.000270,0.000087,0.000000,0.003798,0.000182,0.002133,0.000530,0.000221,0.000204,0.000199,0.000000,0.000143,0.000056,0.000038,0.000034,0.003809,0.003997,0.004087,0.004087,0.399283,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.585045,1.096076,1.585045,,,1.585045,1.152355,,,,,,,,,,,,,,,,,,1.585045,1.096076,1.152355,,,,
3,barn1,FLOAT,12,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,432,381,15,0.000000,0.000036,0.000067,0.000036,0.000029,0.000027,0.000158,0.000008,0.000007,0.002126,0.000398,0.000398,0.000132,0.000000,0.002861,0.000178,0.001417,0.000410,0.000123,0.000090,0.000083,0.000000,0.000221,0.000081,0.000052,0.000045,0.002871,0.003048,0.003135,0.003135,0.691978,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.969728,0.924285,,,1.969728,,1.076436,,,,,,,,,,,,,,,,,,1.969728,0.924285,1.076436,,,,
3,barn1,FLOAT,12,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,432,381,15,0.000000,0.000037,0.000067,0.000036,0.000029,0.000027,0.000158,0.000007,0.000007,0.006996,0.000396,0.000396,0.000135,0.000000,0.007738,0.000181,0.005025,0.001018,0.000375,0.000305,0.000274,0.000000,0.000219,0.000081,0.000052,0.000045,0.007749,0.007930,0.008017,0.008017,0.691978,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.941430,0.915811,,,,0.941430,1.126926,,,,,,,,,,,,,,,,,,0.941430,0.915811,1.126926,,,,
4,conesQuarterSize,FLOAT,12,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,450,375,15,0.000000,0.000102,0.000122,0.000064,0.000053,0.000041,0.000280,0.000009,0.000009,0.010637,0.000790,0.000790,0.000292,0.000000,0.012113,0.000180,0.007580,0.002058,0.000465,0.000301,0.000231,0.000000,0.000463,0.000149,0.000096,0.000082,0.012123,0.012304,0.012393,0.012393,1.475831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.473997,0.896227,,1.473997,1.473997,,1.098396,,,,,,,,,,,,,,,,,,1.473997,0.896227,1.098396,,,,
4,conesQuarterSize,FLOAT,12,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,450,375,15,0.000000,0.000103,0.000121,0.000065,0.000053,0.000041,0.000280,0.000009,0.000009,0.017189,0.000789,0.000789,0.000295,0.000000,0.018663,0.000184,0.011885,0.003261,0.000913,0.000581,0.000543,0.000000,0.000467,0.000149,0.000092,0.000080,0.018673,0.018854,0.018944,0.018944,1.475831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.017188,0.903559,,1.017188,,1.017188,1.055364,,,,,,,,,,,,,,,,,,1.017188,0.903559,1.055364,,,,
5,conesHalfSize,FLOAT,12,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,900,750,7,0.000000,0.001015,0.000912,0.000231,0.000116,0.000098,0.001357,0.000017,0.000017,0.101491,0.005242,0.005242,0.002475,0.000000,0.111592,0.000717,0.075274,0.018979,0.005120,0.001281,0.000786,0.000000,0.003812,0.000958,0.000288,0.000177,0.111603,0.112320,0.112621,0.112621,11.729538,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.115264,0.871023,,2.115264,2.115264,,1.040957,,,,,,,,,,,,,,,,,,2.115264,0.871023,1.040957,,,,
5,conesHalfSize,FLOAT,12,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,900,750,7,0.000000,0.000973,0.000914,0.000233,0.000117,0.000099,0.001362,0.000017,0.000016,0.143911,0.005268,0.005268,0.002506,0.000000,0.154069,0.000721,0.105495,0.026303,0.007802,0.002553,0.001721,0.000000,0.003839,0.000962,0.000288,0.000176,0.154082,0.154819,0.155117,0.155117,11.729538,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.599828,0.874467,,1.599828,,1.599828,1.071822,,,,,,,,,,,,,,,,,,1.599828,0.874467,1.071822,,,,
6,conesFullSizeCropped,FLOAT,12,32,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,900,750,7,0.000000,0.002157,0.001855,0.000476,0.000219,0.000182,0.002734,0.000027,0.000027,0.202263,0.010582,0.010582,0.004947,0.000000,0.222711,0.000718,0.147545,0.038297,0.011177,0.003233,0.002067,0.000000,0.007700,0.001979,0.000563,0.000335,0.222723,0.223442,0.223742,0.223742,19.302382,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.140486,0.967710,,2.140486,2.140486,,1.018833,,,,,,,,,,,,,,,,,,2.140486,0.967710,1.018833,,,,
6,conesFullSizeCropped,FLOAT,12,32,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,900,750,7,0.000000,0.002147,0.001877,0.000462,0.000219,0.000182,0.002739,0.000027,0.000027,0.300128,0.010624,0.010624,0.004946,0.000000,0.320646,0.000720,0.214257,0.055845,0.016426,0.007758,0.005086,0.000000,0.007691,0.002010,0.000569,0.000337,0.320658,0.321384,0.321683,0.321683,19.302382,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.541842,0.964150,,1.541842,,1.541842,1.046480,,,,,,,,,,,,,,,,,,1.541842,0.964150,1.046480,,,,
0,tsukubaSetHalfSize,DOUBLE,12,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,192,144,15,0.000000,0.000008,0.000017,0.000016,0.000016,0.000016,0.000065,0.000006,0.000006,0.000803,0.000085,0.000085,0.000017,0.000000,0.000984,0.000053,0.000244,0.000142,0.000141,0.000137,0.000138,0.000000,0.000026,0.000020,0.000019,0.000020,0.000996,0.001048,0.001069,0.001069,0.009533,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,0.918800,1.164809,0.918800,,0.918800,,1.366004,,,,,,,,,,0.918800,1.164809,1.366004,,,,
0,tsukubaSetHalfSize,DOUBLE,12,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,192,144,15,0.000000,0.000008,0.000017,0.000016,0.000016,0.000016,0.000065,0.000006,0.000006,0.000987,0.000086,0.000086,0.000018,0.000000,0.001172,0.000056,0.000267,0.000179,0.000179,0.000177,0.000184,0.000000,0.000027,0.000020,0.000019,0.000020,0.001181,0.001236,0.001258,0.001258,0.009533,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,,,,,,,,,1.771267,1.183251,1.771267,,,1.771267,1.102715,,,,,,,,,,1.771267,1.183251,1.102715,,,,
1,tsukubaSet,DOUBLE,12,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Set Per Kernel,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,32 x 4,CUDA,NVIDIA GeForce RTX 3090 Ti with 84 multiprocessors,12060,12060,384,288,15,0.000000,0.000023,0.000049,0.000024,0.000020,0.000019,0.000112,0.000007,0.000007,0.002361,0.000225,0.000224,0.000088,0.000000,0.002817,0.000127,0.001196,0.000464,0.000237,0.000234,0.000230,0.000000,0.000128,0.000046,0.000027,0.000024,0.002827,0.002954,0.003014,0.003014,0.097234,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,,,,,,,,,1.434301,1.254836,1.434301,,1.434301,,1.172110,,,,,,,,,,1.434301,1.254836,1.172110,,,,
