Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Time init settings malloc (3 timings),Level 0 Data Costs (3 timings),Level 1 Data Costs (3 timings),Level 2 Data Costs (3 timings),Level 3 Data Costs (3 timings),Level 4 Data Costs (3 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (3 timings),Time to init message values (3 timings),Time to init message values (kernel portion only) (3 timings),Total time BP Iters (3 timings),Total time Copy Data (3 timings),Total time Copy Data (kernel portion only) (3 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (3 timings),Time final free (3 timings),Total timed (3 timings),Smoothing Runtime (3 timings),Level 0 BP Runtime (3 timings),Level 1 BP Runtime (3 timings),Level 2 BP Runtime (3 timings),Level 3 BP Runtime (3 timings),Level 4 BP Runtime (3 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (3 timings),Level 1 Copy Runtime (3 timings),Level 2 Copy Runtime (3 timings),Level 3 Copy Runtime (3 timings),Level 4 Copy Runtime (3 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (3 timings),Total Runtime not including data transfer time (3 timings),Total runtime including data transfer time (3 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,192,144,0.000000,0.000022,0.000014,0.000005,0.000004,0.000003,No timings,No timings,No timings,No timings,No timings,0.000026,0.000004,0.000004,0.000247,0.000075,0.000075,No timings,0.000013,0.000000,0.000388,0.000004,0.000137,0.000042,0.000022,0.000029,0.000017,No timings,No timings,No timings,No timings,No timings,0.000000,0.000039,0.000014,0.000009,0.000011,No timings,No timings,No timings,No timings,No timings,0.000404,0.000408,0.000417,0.000417,0.010860,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.390090,0.964372,1.390090,1.108121,3.393387,1.099101,3.400589,0.656984,0.844416,1.390090,0.964372,1.108121,3.393387,
0,tsukubaSetHalfSize,FLOAT,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,192,144,0.000000,0.000024,0.000012,0.000004,0.000004,0.000003,No timings,No timings,No timings,No timings,No timings,0.000025,0.000005,0.000005,0.001056,0.000074,0.000074,No timings,0.000202,0.000000,0.001387,0.000004,0.000703,0.000189,0.000083,0.000056,0.000024,No timings,No timings,No timings,No timings,No timings,0.000000,0.000040,0.000014,0.000010,0.000010,No timings,No timings,No timings,No timings,No timings,0.001402,0.001406,0.001414,0.001414,0.010860,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.914150,1.007116,0.914150,1.071772,No Data,1.391571,2.909106,0.575409,0.901767,0.914150,1.007116,1.071772,No Data,
1,tsukubaSet,FLOAT,16,16,8,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX256,384,288,0.000001,0.000162,0.000093,0.000031,0.000011,0.000008,No timings,No timings,No timings,No timings,No timings,0.000142,0.000024,0.000024,0.004382,0.002459,0.002458,No timings,0.000564,0.000001,0.007689,0.000072,0.003795,0.000409,0.000111,0.000041,0.000024,No timings,No timings,No timings,No timings,No timings,0.000000,0.001825,0.000404,0.000115,0.000040,No timings,No timings,No timings,No timings,No timings,0.007727,0.007781,0.007823,0.007823,0.083725,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.287542,1.425368,0.287542,1.041104,1.860683,1.000000,2.496858,0.266417,2.508722,0.287542,1.425368,1.041104,1.499297,
1,tsukubaSet,FLOAT,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,384,288,0.000001,0.000188,0.000181,0.000041,0.000012,0.000009,No timings,No timings,No timings,No timings,No timings,0.000283,0.000027,0.000027,0.007591,0.002693,0.002692,No timings,0.000621,0.000001,0.011419,0.000057,0.005741,0.001119,0.000320,0.000144,0.000116,No timings,No timings,No timings,No timings,No timings,0.000000,0.002147,0.000370,0.000115,0.000049,No timings,No timings,No timings,No timings,No timings,0.011467,0.011684,0.011728,0.011728,0.083725,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.295394,1.456899,0.295394,1.045084,No Data,1.241038,2.832990,0.371806,1.613722,0.295394,1.456899,1.045084,No Data,
2,venus,FLOAT,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,434,383,0.000000,0.000657,0.000555,0.000087,0.000012,0.000005,No timings,No timings,No timings,No timings,No timings,0.000660,0.000011,0.000010,0.020222,0.006754,0.006753,No timings,0.002589,0.000001,0.030892,0.000052,0.018260,0.001392,0.000305,0.000103,0.000144,No timings,No timings,No timings,No timings,No timings,0.000000,0.005422,0.001044,0.000208,0.000054,No timings,No timings,No timings,No timings,No timings,0.030925,0.030977,0.031031,0.031031,0.285591,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119251,1.535625,0.119251,0.997492,1.147023,1.232187,1.579175,0.436648,2.009928,0.119251,1.535625,0.997492,1.147023,
2,venus,FLOAT,16,64,16,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000000,0.000791,0.000547,0.000079,0.000014,0.000011,No timings,No timings,No timings,No timings,No timings,0.000651,0.000030,0.000029,0.022106,0.006958,0.006957,No timings,0.002518,0.000001,0.035267,0.000076,0.019180,0.002162,0.000569,0.000172,0.000195,No timings,No timings,No timings,No timings,No timings,0.000000,0.005449,0.000964,0.000226,0.000067,No timings,No timings,No timings,No timings,No timings,0.035311,0.035532,0.035594,0.035594,0.285591,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157920,1.532414,0.157920,0.958498,No Data,1.042052,1.937758,0.487788,1.808253,0.157920,1.532414,0.958498,No Data,
3,barn1,FLOAT,16,64,16,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,432,381,0.000000,0.001259,0.001268,0.000144,0.000020,0.000008,No timings,No timings,No timings,No timings,No timings,0.001438,0.000016,0.000015,0.033863,0.011082,0.011081,No timings,0.003949,0.000001,0.051525,0.000065,0.030297,0.002640,0.000549,0.000159,0.000225,No timings,No timings,No timings,No timings,No timings,0.000000,0.008831,0.001807,0.000408,0.000098,No timings,No timings,No timings,No timings,No timings,0.051563,0.051633,0.051687,0.051687,0.459102,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110971,1.393122,No Data,1.016335,1.063934,1.105977,1.492363,0.442924,2.108987,0.110971,1.393122,1.016335,1.063934,
3,barn1,FLOAT,16,64,16,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,432,381,0.000001,0.001227,0.001180,0.000145,0.000022,0.000007,No timings,No timings,No timings,No timings,No timings,0.001353,0.000015,0.000015,0.036973,0.011375,0.011373,No timings,0.003892,0.000001,0.054832,0.000066,0.031045,0.004292,0.001066,0.000280,0.000293,No timings,No timings,No timings,No timings,No timings,0.000000,0.009097,0.001767,0.000401,0.000101,No timings,No timings,No timings,No timings,No timings,0.054872,0.054936,0.054992,0.054992,0.459102,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121786,1.380349,No Data,1.012828,No Data,1.072769,1.789624,0.474694,1.685456,0.121786,1.380349,1.012828,No Data,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,450,375,0.000000,0.002939,0.004253,0.000670,0.000096,0.000015,No timings,No timings,No timings,No timings,No timings,0.005023,0.000033,0.000032,0.080803,0.026575,0.026573,No timings,0.008437,0.000001,0.126998,0.000066,0.067478,0.011274,0.001243,0.000308,0.000517,No timings,No timings,No timings,No timings,No timings,0.000000,0.020227,0.005165,0.001022,0.000221,No timings,No timings,No timings,No timings,No timings,0.127035,0.127101,0.127158,0.127158,0.947107,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130792,1.396548,No Data,1.034241,0.980126,1.070756,1.460924,0.468765,2.033801,0.130792,1.396548,1.034241,0.980126,
4,conesQuarterSize,FLOAT,16,64,16,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,450,375,0.000001,0.002963,0.004222,0.000683,0.000084,0.000012,No timings,No timings,No timings,No timings,No timings,0.005001,0.000030,0.000029,0.081154,0.026534,0.026532,No timings,0.008452,0.000001,0.124467,0.000069,0.066623,0.011606,0.001692,0.000443,0.000635,No timings,No timings,No timings,No timings,No timings,0.000000,0.020147,0.005236,0.000993,0.000220,No timings,No timings,No timings,No timings,No timings,0.124503,0.124573,0.124631,0.124631,0.947107,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.146499,1.407972,No Data,1.167490,No Data,1.147612,1.680410,0.416072,1.818132,0.146499,1.407972,1.167490,No Data,
5,conesHalfSize,FLOAT,16,64,16,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,900,750,0.000001,0.031273,0.038529,0.008466,0.001984,0.000269,No timings,No timings,No timings,No timings,No timings,0.049249,0.000316,0.000314,0.804498,0.201651,0.201649,No timings,0.076897,0.000001,1.180836,0.000294,0.628565,0.139967,0.028530,0.003031,0.000634,No timings,No timings,No timings,No timings,No timings,0.000000,0.146585,0.040016,0.012565,0.002255,No timings,No timings,No timings,No timings,No timings,1.180873,1.181091,1.181319,1.181319,8.159192,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.193725,1.252171,No Data,1.050077,0.998395,1.108566,1.519317,0.511640,1.847870,0.193725,1.252171,1.050077,0.998395,
5,conesHalfSize,FLOAT,16,64,16,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,900,750,0.000001,0.032073,0.038924,0.008466,0.001972,0.000265,No timings,No timings,No timings,No timings,No timings,0.049731,0.000304,0.000302,0.794800,0.207260,0.207257,No timings,0.076229,0.000001,1.178824,0.000312,0.622389,0.139380,0.028735,0.003583,0.000720,No timings,No timings,No timings,No timings,No timings,0.000000,0.151103,0.040626,0.012838,0.002125,No timings,No timings,No timings,No timings,No timings,1.178864,1.179201,1.179422,1.179422,8.159192,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.196310,1.257122,No Data,1.059249,No Data,1.095734,1.517800,0.516475,1.887735,0.196310,1.257122,1.059249,No Data,
6,conesFullSizeCropped,FLOAT,16,64,16,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,900,750,0.000001,0.059785,0.082020,0.016612,0.003699,0.000634,No timings,No timings,No timings,No timings,No timings,0.102954,0.000637,0.000635,1.701424,0.423837,0.423833,No timings,0.162524,0.000001,2.452029,0.000268,1.317359,0.293184,0.065608,0.012861,0.001485,No timings,No timings,No timings,No timings,No timings,0.000000,0.306307,0.077978,0.032058,0.005851,No timings,No timings,No timings,No timings,No timings,2.452067,2.452300,2.452520,2.452520,15.247163,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.191666,1.225087,No Data,1.083857,1.038153,1.079457,1.353715,0.524137,1.870198,0.191666,1.225087,1.083857,1.038153,
6,conesFullSizeCropped,FLOAT,16,64,16,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,900,750,0.000001,0.060049,0.081718,0.016628,0.003738,0.000625,No timings,No timings,No timings,No timings,No timings,0.102884,0.000632,0.000630,1.724060,0.427771,0.427767,No timings,0.161937,0.000002,2.545486,0.000320,1.335806,0.295885,0.065598,0.013103,0.001608,No timings,No timings,No timings,No timings,No timings,0.000000,0.312414,0.075880,0.033728,0.005747,No timings,No timings,No timings,No timings,No timings,2.545526,2.545846,2.546090,2.546090,15.247163,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.186150,1.220581,No Data,1.027595,No Data,1.017803,1.388369,0.532176,1.956926,0.186150,1.220581,1.027595,No Data,
0,tsukubaSetHalfSize,DOUBLE,16,64,16,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000025,0.000013,0.000006,0.000005,0.000005,No timings,No timings,No timings,No timings,No timings,0.000030,0.000006,0.000006,0.000412,0.000101,0.000101,No timings,0.000022,0.000000,0.000603,0.000005,0.000233,0.000079,0.000032,0.000040,0.000027,No timings,No timings,No timings,No timings,No timings,0.000000,0.000056,0.000021,0.000012,0.000012,No timings,No timings,No timings,No timings,No timings,0.000621,0.000626,0.000634,0.000634,0.010860,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.656984,No Data,1.133192,1.022438,0.976900,3.874466,
0,tsukubaSetHalfSize,DOUBLE,16,64,16,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000031,0.000014,0.000006,0.000005,0.000005,No timings,No timings,No timings,No timings,No timings,0.000031,0.000007,0.000006,0.001954,0.000107,0.000107,No timings,0.000245,0.000000,0.002418,0.000008,0.001348,0.000368,0.000159,0.000068,0.000032,No timings,No timings,No timings,No timings,No timings,0.000000,0.000059,0.000022,0.000013,0.000013,No timings,No timings,No timings,No timings,No timings,0.002441,0.002448,0.002458,0.002458,0.010860,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.575409,No Data,0.821830,1.038626,0.983372,No Data,
1,tsukubaSet,DOUBLE,16,64,16,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,384,288,0.000000,0.000706,0.000516,0.000092,0.000012,0.000005,No timings,No timings,No timings,No timings,No timings,0.000670,0.000013,0.000013,0.019483,0.005947,0.005945,No timings,0.002400,0.000001,0.029255,0.000040,0.017985,0.001096,0.000193,0.000080,0.000068,No timings,No timings,No timings,No timings,No timings,0.000000,0.004881,0.000854,0.000147,0.000064,No timings,No timings,No timings,No timings,No timings,0.029294,0.029327,0.029362,0.029362,0.083725,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.266417,No Data,0.125605,1.457305,0.999274,1.074320,
1,tsukubaSet,DOUBLE,16,64,16,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,384,288,0.000000,0.000652,0.000484,0.000077,0.000019,0.000008,No timings,No timings,No timings,No timings,No timings,0.000583,0.000017,0.000016,0.021771,0.005895,0.005894,No timings,0.002517,0.000000,0.031408,0.000049,0.018129,0.002614,0.000667,0.000212,0.000114,No timings,No timings,No timings,No timings,No timings,0.000000,0.004903,0.000765,0.000167,0.000064,No timings,No timings,No timings,No timings,No timings,0.031457,0.031506,0.031545,0.031545,0.083725,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.371806,No Data,0.187752,1.466419,1.080293,No Data,
2,venus,DOUBLE,16,64,16,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000001,0.001794,0.002147,0.000279,0.000025,0.000008,No timings,No timings,No timings,No timings,No timings,0.002460,0.000024,0.000023,0.047115,0.013704,0.013703,No timings,0.005730,0.000000,0.070894,0.000076,0.042037,0.004343,0.000437,0.000151,0.000148,No timings,No timings,No timings,No timings,No timings,0.000000,0.011184,0.002052,0.000379,0.000103,No timings,No timings,No timings,No timings,No timings,0.070934,0.071009,0.071067,0.071067,0.285591,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.436648,No Data,0.084607,1.523338,0.993782,1.026769,
