Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,12,AVX256,192,144,0.000000,0.000017,0.000011,0.000007,0.000009,0.000007,YES,YES,YES,YES,YES,0.000034,0.000008,0.000007,0.000225,0.000097,0.000096,YES,0.000017,0.000000,0.000399,0.000006,0.000111,0.000042,0.000027,0.000021,0.000025,YES,YES,YES,YES,YES,0.000000,0.000035,0.000014,0.000026,0.000021,YES,YES,YES,YES,YES,0.000414,0.000422,0.000431,0.000431,0.007174,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.344089,1.459966,1.344089,2.100549,2.519199,1.000000,1.793800,0.803014,1.024952,1.344089,1.459966,2.100549,1.965724,
0,tsukubaSetHalfSize,FLOAT,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX512,192,144,0.000000,0.000012,0.000011,0.000010,0.000011,0.000010,YES,YES,YES,YES,YES,0.000042,0.000014,0.000014,0.000611,0.000109,0.000108,YES,0.000025,0.000000,0.000817,0.000009,0.000334,0.000107,0.000065,0.000058,0.000041,YES,YES,YES,YES,YES,0.000000,0.000026,0.000024,0.000022,0.000035,YES,YES,YES,YES,YES,0.000830,0.000838,0.000847,0.000847,0.006974,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.525854,1.568237,1.525854,1.317990,No Data,1.281562,1.738545,0.650269,1.011228,1.525854,1.568237,1.317990,No Data,
1,tsukubaSet,FLOAT,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,384,288,0.000000,0.000037,0.000030,0.000020,0.000018,0.000021,YES,YES,YES,YES,YES,0.000091,0.000031,0.000030,0.000674,0.000364,0.000362,YES,0.000038,0.000000,0.001233,0.000017,0.000296,0.000126,0.000078,0.000066,0.000110,YES,YES,YES,YES,YES,0.000000,0.000210,0.000046,0.000045,0.000055,YES,YES,YES,YES,YES,0.001248,0.001265,0.001312,0.001312,0.079119,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.714852,1.508348,1.714852,1.202694,1.841392,1.117687,2.886614,0.618973,1.050376,1.714852,1.508348,1.202694,1.841392,
1,tsukubaSet,FLOAT,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,384,288,0.000000,0.000038,0.000031,0.000020,0.000019,0.000021,YES,YES,YES,YES,YES,0.000091,0.000040,0.000039,0.001765,0.000362,0.000360,YES,0.000038,0.000000,0.002334,0.000017,0.001072,0.000336,0.000141,0.000097,0.000113,YES,YES,YES,YES,YES,0.000000,0.000209,0.000048,0.000049,0.000056,YES,YES,YES,YES,YES,0.002351,0.002368,0.002415,0.002415,0.078776,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.434389,1.548424,1.434389,1.039827,No Data,1.158420,2.372447,0.640844,1.169691,1.434389,1.548424,1.039827,No Data,
2,venus,FLOAT,64,16,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,434,383,0.000000,0.000067,0.000043,0.000023,0.000017,0.000024,YES,YES,YES,YES,YES,0.000107,0.000043,0.000043,0.001375,0.000352,0.000350,YES,0.000052,0.000000,0.002007,0.000019,0.000711,0.000255,0.000153,0.000095,0.000157,YES,YES,YES,YES,YES,0.000000,0.000202,0.000068,0.000041,0.000040,YES,YES,YES,YES,YES,0.002024,0.002044,0.002117,0.002117,0.222189,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.748137,1.973818,1.748137,1.168245,1.564652,1.180418,3.519911,0.430520,1.024873,1.748137,1.973818,1.168245,1.564652,
2,venus,FLOAT,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,434,383,0.000000,0.000069,0.000048,0.000030,0.000030,0.000034,YES,YES,YES,YES,YES,0.000146,0.000056,0.000056,0.002366,0.000491,0.000489,YES,0.000067,0.000000,0.003208,0.000026,0.001400,0.000425,0.000231,0.000148,0.000164,YES,YES,YES,YES,YES,0.000000,0.000243,0.000077,0.000085,0.000084,YES,YES,YES,YES,YES,0.003232,0.003258,0.003312,0.003312,0.223258,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.697103,1.960257,1.697103,1.052831,No Data,1.192581,2.789639,0.480695,1.081402,1.697103,1.960257,1.052831,No Data,
3,barn1,FLOAT,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,432,381,0.000000,0.000113,0.000059,0.000027,0.000019,0.000037,YES,YES,YES,YES,YES,0.000142,0.000076,0.000076,0.002232,0.000686,0.000684,YES,0.000102,0.000000,0.003365,0.000021,0.001340,0.000373,0.000205,0.000122,0.000190,YES,YES,YES,YES,YES,0.000000,0.000432,0.000114,0.000080,0.000059,YES,YES,YES,YES,YES,0.003386,0.003407,0.003480,0.003480,0.403405,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.647983,1.585467,No Data,1.169934,1.440981,1.028501,3.217716,0.369455,1.178569,1.647983,1.585467,1.169934,1.440981,
3,barn1,FLOAT,64,16,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,432,381,0.000000,0.000104,0.000067,0.000038,0.000036,0.000037,YES,YES,YES,YES,YES,0.000182,0.000081,0.000081,0.003450,0.000951,0.000949,YES,0.000119,0.000000,0.004897,0.000029,0.002276,0.000521,0.000274,0.000171,0.000198,YES,YES,YES,YES,YES,0.000000,0.000537,0.000135,0.000161,0.000117,YES,YES,YES,YES,YES,0.004925,0.004954,0.005015,0.005015,0.406618,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.335358,1.558517,No Data,1.013631,No Data,1.127922,2.597628,0.408546,1.223927,1.335358,1.558517,1.013631,No Data,
4,conesQuarterSize,FLOAT,64,16,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,450,375,0.000001,0.000188,0.000212,0.000126,0.000071,0.000062,YES,YES,YES,YES,YES,0.000476,0.000226,0.000224,0.006992,0.002500,0.002498,YES,0.000579,0.000001,0.010945,0.000035,0.005173,0.000856,0.000384,0.000218,0.000307,YES,YES,YES,YES,YES,0.000000,0.001360,0.000616,0.000331,0.000192,YES,YES,YES,YES,YES,0.010997,0.011031,0.011112,0.011112,0.895574,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.496644,1.476907,No Data,0.996528,1.076784,1.035144,2.457896,0.382124,1.622725,1.496644,1.476907,0.996528,1.076784,
4,conesQuarterSize,FLOAT,64,16,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,450,375,0.000001,0.000187,0.000219,0.000128,0.000077,0.000054,YES,YES,YES,YES,YES,0.000494,0.000158,0.000156,0.007815,0.002550,0.002547,YES,0.000576,0.000001,0.011785,0.000035,0.005803,0.001043,0.000426,0.000235,0.000309,YES,YES,YES,YES,YES,0.000000,0.001363,0.000639,0.000349,0.000196,YES,YES,YES,YES,YES,0.011839,0.011873,0.011966,0.011966,0.895129,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.525893,1.489730,No Data,1.001998,No Data,1.103720,2.411011,0.382523,1.521676,1.525893,1.489730,1.001998,No Data,
5,conesHalfSize,FLOAT,64,16,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,900,750,0.000001,0.003196,0.004661,0.000881,0.000175,0.000097,YES,YES,YES,YES,YES,0.005813,0.000245,0.000243,0.097833,0.028421,0.028419,YES,0.008418,0.000001,0.143911,0.000058,0.078100,0.016580,0.002229,0.000583,0.000323,YES,YES,YES,YES,YES,0.000000,0.021568,0.004869,0.001294,0.000686,YES,YES,YES,YES,YES,0.143964,0.144019,0.144342,0.144342,7.936081,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.585483,1.287374,No Data,0.999073,1.008149,1.011902,1.756466,0.500822,1.891625,1.585483,1.287374,0.999073,1.008149,
5,conesHalfSize,FLOAT,64,16,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,900,750,0.000001,0.003188,0.004613,0.000868,0.000171,0.000096,YES,YES,YES,YES,YES,0.005753,0.000236,0.000234,0.099029,0.028387,0.028384,YES,0.008409,0.000001,0.145058,0.000060,0.078764,0.016822,0.002421,0.000649,0.000358,YES,YES,YES,YES,YES,0.000000,0.021542,0.004923,0.001280,0.000661,YES,YES,YES,YES,YES,0.145121,0.145181,0.145518,0.145518,7.970356,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.591091,1.286906,No Data,0.999524,No Data,1.027615,1.781932,0.491814,1.828274,1.591091,1.286906,0.999524,No Data,
6,conesFullSizeCropped,FLOAT,64,16,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,900,750,0.000001,0.007544,0.009156,0.002247,0.000453,0.000165,YES,YES,YES,YES,YES,0.012025,0.000498,0.000495,0.207874,0.060572,0.060568,YES,0.016656,0.000001,0.305080,0.000060,0.160298,0.037573,0.008413,0.001108,0.000499,YES,YES,YES,YES,YES,0.000000,0.043940,0.011210,0.004101,0.001341,YES,YES,YES,YES,YES,0.305137,0.305197,0.305549,0.305549,16.403109,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.538426,1.138754,No Data,1.000129,1.004924,1.001418,1.768952,0.496825,1.821225,1.538426,1.138754,1.000129,1.004924,
6,conesFullSizeCropped,FLOAT,64,16,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,900,750,0.000001,0.007565,0.009199,0.002248,0.000477,0.000162,YES,YES,YES,YES,YES,0.012094,0.000498,0.000496,0.208967,0.060467,0.060462,YES,0.016669,0.000001,0.306592,0.000062,0.160911,0.037731,0.008639,0.001154,0.000543,YES,YES,YES,YES,YES,0.000000,0.043917,0.011215,0.004061,0.001295,YES,YES,YES,YES,YES,0.306651,0.306716,0.307053,0.307053,16.432616,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.543560,1.132528,No Data,0.997797,No Data,1.010020,1.780904,0.485108,1.790134,1.543560,1.132528,0.997797,No Data,
0,tsukubaSetHalfSize,DOUBLE,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,24,AVX256,192,144,0.000000,0.000014,0.000012,0.000010,0.000010,0.000010,YES,YES,YES,YES,YES,0.000043,0.000013,0.000013,0.000318,0.000101,0.000100,YES,0.000023,0.000000,0.000507,0.000009,0.000137,0.000061,0.000038,0.000034,0.000040,YES,YES,YES,YES,YES,0.000000,0.000034,0.000022,0.000023,0.000020,YES,YES,YES,YES,YES,0.000518,0.000528,0.000537,0.000537,0.007018,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.803014,No Data,1.339235,1.582268,1.782744,2.427463,
0,tsukubaSetHalfSize,DOUBLE,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,192,144,0.000000,0.000014,0.000019,0.000017,0.000017,0.000018,YES,YES,YES,YES,YES,0.000073,0.000015,0.000014,0.000954,0.000153,0.000151,YES,0.000038,0.000000,0.001253,0.000015,0.000522,0.000189,0.000099,0.000073,0.000064,YES,YES,YES,YES,YES,0.000000,0.000058,0.000033,0.000027,0.000033,YES,YES,YES,YES,YES,0.001276,0.001291,0.001303,0.001303,0.008020,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.650269,No Data,1.550223,1.406483,1.037845,No Data,
1,tsukubaSet,DOUBLE,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,48,AVX512,384,288,0.000000,0.000043,0.000033,0.000023,0.000019,0.000019,YES,YES,YES,YES,YES,0.000094,0.000021,0.000021,0.001202,0.000616,0.000614,YES,0.000055,0.000000,0.002033,0.000019,0.000682,0.000230,0.000111,0.000074,0.000097,YES,YES,YES,YES,YES,0.000000,0.000380,0.000139,0.000050,0.000045,YES,YES,YES,YES,YES,0.002051,0.002070,0.002119,0.002119,0.079741,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.618973,No Data,1.740372,1.530124,1.031685,1.778547,
1,tsukubaSet,DOUBLE,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,384,288,0.000000,0.000048,0.000047,0.000034,0.000029,0.000028,YES,YES,YES,YES,YES,0.000141,0.000034,0.000034,0.002819,0.000567,0.000564,YES,0.000072,0.000000,0.003680,0.000027,0.001696,0.000583,0.000252,0.000164,0.000124,YES,YES,YES,YES,YES,0.000000,0.000318,0.000114,0.000074,0.000058,YES,YES,YES,YES,YES,0.003703,0.003732,0.003769,0.003769,0.080017,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.640844,No Data,1.571399,1.534376,1.033396,No Data,
2,venus,DOUBLE,64,16,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,434,383,0.000000,0.000082,0.000061,0.000036,0.000030,0.000031,YES,YES,YES,YES,YES,0.000160,0.000049,0.000048,0.003325,0.000932,0.000929,YES,0.000200,0.000000,0.004757,0.000033,0.002268,0.000474,0.000259,0.000167,0.000145,YES,YES,YES,YES,YES,0.000000,0.000564,0.000189,0.000102,0.000070,YES,YES,YES,YES,YES,0.004803,0.004836,0.004917,0.004917,0.224018,,0.446534,0.446534,0.883962,0.025249,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.430520,No Data,1.222874,1.942037,0.988965,1.401333,
